ticker,yf_ticker,company_name,sector_sp500,industry_sp500,current_price,market_cap,analyst_target_mean,analyst_target_median,analyst_target_low,analyst_target_high,analyst_upside_pct,analyst_count,analyst_dispersion_pct,fundamental_target_mean,fundamental_upside_pct,target_price_pe,target_price_ev_ebitda,target_price_fcf,valuation_method_count,forward_pe,sector_forward_pe,forward_eps,fcf_yield_pct,revenue_growth_pct,earnings_growth_pct,ebitda_margin_pct,net_margin_pct,roe_pct,net_debt_ebitda,return_3m_pct,return_6m_pct,return_12m_pct,volatility_12m_pct,max_drawdown_12m_pct,ml_start_price,ml_target_price_12m,ml_predicted_return_12m_pct,ml_outperform_probability_pct,ml_rank_percentile,ml_signal,ml_forecast_date,ml_maturity_date,fundamental_score,analyst_score,ml_score,quality_score,consistency_score,risk_safety_score,data_completeness_pct,final_score,sp500_rank,final_rank_percentile,final_category,qualified_strong_candidate
LRCX,LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,307.65,384968884224.0,370.87097,367.0,290.0,500.0,20.55,35.0,56.62,141.2,-54.1,209.28,137.38,76.94,3,26.584322,18.08,11.57261,0.8,30.0,34.8,37.2,31.27,65.07,-0.17,1.51,54.45,208.06,63.93,-41.76,307.65,473.91,54.04,63.5,93.79,STRONG,2026-09-07,2027-09-07,27.027779293783766,65.39822159288637,81.674,60.68849488146689,10.3,29.790245132548385,100.0,51.88,276,45.23,Nötr,False
FCX,FCX,Freeport-McMoRan,Materials,Copper,72.73,104441561088.0,72.04545,75.0,30.0,83.0,-0.94,23.0,73.56,61.5,-15.44,64.72,72.13,47.66,3,17.587261,15.65,4.13538,2.07,-7.3,28.1,36.93,11.39,14.75,0.66,15.05,23.09,59.57,51.0,-24.31,72.73,93.51,28.58,57.44,76.15,NEUTRAL,2026-09-07,2027-09-07,48.999203187251,17.369629478517915,68.666,57.629629629629626,84.21,38.56466411949147,100.0,51.88,276,45.23,Nötr,False
EXPD,EXPD,Expeditors International,Industrials,Air Freight & Logistics,188.8,24542230528.0,177.7143,180.0,100.0,220.0,-5.87,17.0,67.52,170.35,-9.77,159.4,165.15,186.49,3,23.81553,20.11,7.9276,3.25,32.1,51.5,10.5,7.63,42.67,-0.37,17.68,29.22,56.83,30.8,-15.88,188.8,235.49,24.73,51.24,66.13,NEUTRAL,2026-09-07,2027-09-07,53.20137172827677,9.95979983919936,60.174,59.00232007309719,95.77,61.14547015769405,100.0,51.82,278,44.93,Nötr,False
WRB,WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,69.14,25666670592.0,69.52941,70.0,51.0,83.0,0.56,18.0,46.02,98.1,41.89,64.57,89.73,140.0,3,14.282438,13.34,4.84091,11.87,1.2,15.0,17.32,12.94,20.21,-0.31,1.74,-0.22,-2.56,22.42,-17.62,69.14,81.23,17.48,48.43,37.07,NEUTRAL,2026-09-07,2027-09-07,82.29126048995508,18.673314693258774,41.614000000000004,46.0915083498242,65.91,71.44893498063058,100.0,51.79,279,44.73,Nötr,False
WFC,WFC,Wells Fargo,Financials,Diversified Banks,89.97,272069214208.0,100.23913,102.0,90.0,115.0,11.41,26.0,24.94,105.38,17.13,105.38,,,1,11.388002,13.34,7.90042,,9.5,25.0,0.0,27.23,12.57,,10.43,13.16,12.35,26.37,-23.02,89.97,105.36,17.11,46.23,32.67,NEUTRAL,2026-09-07,2027-09-07,54.7941567065073,53.9500158000632,38.094,45.24479127014338,95.0,70.07281627536052,87.5,51.78,280,44.53,Nötr,False
PSX,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,255.09,102274506752.0,229.94737,234.0,160.0,335.0,-9.86,20.0,76.1,224.07,-12.16,298.73,180.68,192.81,3,11.976242,14.03,21.29967,4.44,53.1,344.9,6.52,4.66,23.45,1.66,40.07,55.64,99.61,30.89,-17.28,255.09,337.87,32.45,55.02,82.16,NEUTRAL,2026-09-07,2027-09-07,50.56346044393853,10.99068396273585,71.304,48.412698412698404,97.41,40.294574285368995,100.0,51.68,281,44.33,Nötr,False
PLD,PLD,Prologis,Real Estate,Industrial REITs,137.34,133507031040.0,158.23077,160.0,140.0,170.0,15.21,17.0,18.96,115.61,-15.82,116.56,94.45,135.83,3,40.3348,34.23,3.405,4.05,12.3,85.3,69.76,43.58,7.75,5.24,-4.29,3.65,25.91,21.47,-9.59,137.34,156.24,13.76,39.56,8.52,WEAK,2026-09-07,2027-09-07,50.626826029216474,56.61310645242581,20.936,74.5679012345679,68.87,87.01078432544347,100.0,51.64,282,44.14,Nötr,False
HCA,HCA,HCA Healthcare,Health Care,Health Care Facilities,405.0,87683112960.0,451.4762,435.0,380.0,579.0,11.48,25.0,44.08,619.96,53.08,545.36,858.33,456.17,3,12.630523,17.01,32.06518,4.26,8.7,11.6,20.18,8.77,,3.2,9.05,-23.72,-0.93,30.75,-33.62,405.0,468.09,15.58,38.03,23.05,NEUTRAL,2026-09-07,2027-09-07,81.32689580660409,45.13606054424218,29.042,49.34970598408855,68.55,34.73157152723216,93.75,51.63,283,43.84,Nötr,False
ITW,ITW,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components,270.12,76930170880.0,301.85715,300.0,249.0,350.0,11.75,16.0,33.46,252.77,-6.42,249.26,249.39,259.66,3,21.79004,20.11,12.39649,3.16,6.1,10.1,29.18,19.39,104.62,1.84,7.53,-1.33,4.24,21.39,-17.44,270.12,314.54,16.45,41.57,29.06,NEUTRAL,2026-09-07,2027-09-07,54.82525593827223,40.644922579690316,34.064,63.96746128417735,82.3,69.09339942553001,100.0,51.63,283,43.84,Nötr,False
TER,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,357.03,55818338304.0,446.46667,450.0,350.0,550.0,25.05,17.0,44.8,163.12,-54.31,210.72,191.5,87.15,3,30.639856,18.08,11.65247,0.78,103.9,385.8,33.71,25.77,36.46,-0.17,-0.21,30.86,199.93,76.07,-33.98,357.03,563.91,57.94,60.17,94.79,STRONG,2026-09-07,2027-09-07,26.514762866342846,60.86160344641378,80.94200000000001,66.87858564570892,7.04,36.884154621506426,100.0,51.62,285,43.44,Nötr,False
ICE,ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,161.26,90530471936.0,186.7143,182.0,163.0,232.0,15.78,15.0,36.95,114.62,-28.92,117.39,116.03,110.45,3,18.323166,13.34,8.80088,4.01,4.8,14.2,63.59,38.25,14.09,2.9,14.39,-2.29,-6.42,25.0,-29.34,161.26,204.19,26.62,56.46,71.54,NEUTRAL,2026-09-07,2027-09-07,39.34390099177757,48.36379345517382,65.50800000000001,54.670963741685945,52.15,46.39487501621312,100.0,51.62,285,43.44,Nötr,False
GM,GM,General Motors,Consumer Discretionary,Automobile Manufacturers,87.76,79374663680.0,101.64,102.0,61.0,132.0,15.82,26.0,69.85,329.45,275.4,248.94,136.15,603.26,3,5.914205,16.78,14.83885,27.63,1.9,-26.2,8.87,1.05,3.16,6.32,7.1,17.18,52.62,34.06,-16.0,87.76,103.55,17.99,45.63,40.08,NEUTRAL,2026-09-07,2027-09-07,99.6414342629482,51.78568714274858,42.3,26.308295723189342,0.0,34.76707126023969,100.0,51.53,287,43.14,Nötr,False
STE,STE,Steris,Health Care,Health Care Equipment,224.59,21897549824.0,263.125,269.5,232.0,280.0,17.16,9.0,18.24,220.39,-1.87,208.3,236.41,216.47,3,18.338203,17.01,12.24711,3.65,7.3,14.0,27.17,13.33,11.39,0.95,6.4,-1.98,-6.93,25.36,-25.37,224.59,257.49,14.65,38.01,16.43,WEAK,2026-09-07,2027-09-07,58.65487203727463,56.8311073244293,25.061999999999998,49.09734766474073,82.32,71.97215951063022,100.0,51.49,288,42.94,Nötr,False
AMD,AMD,Advanced Micro Devices,Information Technology,Semiconductors,477.57,779621105664.0,613.8449,610.0,365.0,1250.0,28.54,54.0,144.17,189.69,-60.28,279.41,120.95,168.72,3,30.90922,18.08,15.45073,1.13,50.1,159.5,23.15,15.58,10.2,-0.92,2.4,148.18,195.18,71.78,-27.76,477.57,838.91,75.66,67.55,99.4,STRONG,2026-09-07,2027-09-07,27.117830049664356,70.50228200912804,86.66,48.248295943352524,0.0,33.30151001641072,100.0,51.45,289,42.64,Nötr,False
DGX,DGX,Quest Diagnostics,Health Care,Health Care Services,237.14,26173937664.0,245.86667,250.0,204.0,265.0,3.68,17.0,24.81,226.16,-4.63,205.08,255.67,217.74,3,19.667086,17.01,12.05771,3.48,10.2,15.0,19.6,9.19,14.6,2.55,18.88,20.05,33.97,23.74,-11.55,237.14,283.69,19.63,45.11,45.09,NEUTRAL,2026-09-07,2027-09-07,55.62563306097643,30.48084192336769,45.098,49.31193444107085,91.65,72.25834235139232,100.0,51.45,289,42.64,Nötr,False
CDNS,CDNS,Cadence Design Systems,Information Technology,Application Software,292.7,80607535104.0,403.12036,405.0,300.0,470.0,37.72,25.0,42.17,168.34,-42.49,172.59,150.35,182.09,3,30.669674,18.08,9.54363,2.0,24.2,125.4,36.93,23.61,23.23,0.52,-22.19,-1.43,-16.21,40.76,-29.71,292.7,360.58,23.19,45.88,61.92,NEUTRAL,2026-09-07,2027-09-07,35.78398733831796,79.08395633582535,55.504000000000005,59.81775884098695,17.83,40.04410138395477,100.0,51.4,291,42.35,Nötr,False
